x,y,strain,r
1.009232559789937,0.0419047619047585,ss,0.75
1.005655808672202,0.0419047619047621,ss,0.75
1.0025264353133203,0.0209523809523801,ss,0.75
0.9998438719750196,0.0209523809523801,ss,0.75
1.0321946577228795,0.2872590219944477,ss,1.33
1.0347354044748005,0.3211837141433555,ss,1.33
1.0370348131704517,0.3578069613495618,ss,1.33
1.0395225297403694,0.4098505231689078,ss,1.33
1.042010285482608,0.4590027759982913,ss,1.33
1.0444978257770825,0.5240572282724756,ss,1.33
1.0469852289684347,0.5992312620115303,ss,1.33
1.0491491779137991,0.6952640248924684,ss,1.33
1.0518461653321318,0.8056707238949379,ss,1.33
1.054558654473554,0.964560200014235,ss,1.33
1.0574973529945595,1.1242447861057716,ss,1.33
1.0604351627935398,1.3495259449071106,ss,1.33
1.063234691036132,1.5774574702825817,ss,1.33
1.0661969092713506,1.8564085522101208,ss,1.33
1.069133596946561,2.164513666453127,ss,1.33
1.0719567705812283,2.5024354046551345,ss,1.33
1.07376351552831,2.72506619688234,ss,1.33
1.0291999148392592,0.2514285714285726,ss,1.33
1.0260705414803777,0.2304761904761907,ss,1.33
1.0226433893974878,0.1885714285714268,ss,1.33
1.019514299907743,0.1466666666666665,ss,1.33
1.0160868639557163,0.1257142857142845,ss,1.33
1.0125106805762545,0.0838095238095242,ss,1.33
1.009232559789937,0.0419047619047621,ss,1.33
1.0059538712653466,0.0419047619047621,ss,1.33
1.0032718756653185,0.0,ss,1.33
1.0005893123270173,0.0,ss,1.33
1.0042372585879165,0.0354452274183234,ss,1.0
1.0067254843980031,0.0499017723681411,ss,1.0
1.0092136857904836,0.066160580824258,ss,1.0
1.0117471770455524,0.0790365150544545,ss,1.0
1.0139641472007863,0.0781016442451445,ss,1.0
1.0174704379890736,0.0870745248772095,ss,1.0
1.027611319928897,0.1846174104918567,ss,1.0
1.0363011351901303,0.2443230834934855,ss,1.0
1.038781031286025,0.2772633537720015,ss,1.0
1.0415595687607744,0.3317851804398888,ss,1.0
1.044408994705459,0.4017548579970089,ss,1.0
1.0474393536821678,0.474904975443092,ss,1.0
1.0494746887066229,0.5226115737774926,ss,1.0
1.052791147950451,0.6286262367428268,ss,1.0
1.0578409562698323,0.8088511637838991,ss,1.0
1.0610063148153277,0.9360687593423016,ss,1.0
1.0655277015860711,1.1586995515695069,ss,1.0
1.074906789086823,1.826591928251121,ss,1.0
1.0780025580046164,2.081027119367926,ss,1.0
1.080829909786989,2.349092767151703,ss,1.0
1.083766462807347,2.667136756047711,ss,1.0
1.086541237640793,2.999379137305146,ss,1.0
1.0893637918631396,3.383019698910953,ss,1.0
1.0919279318819548,3.757573289405448,ss,1.0
1.0944107211335343,4.173302217748084,ss,1.0
1.096796589669664,4.586759403312893,ss,1.0
1.0983922111973643,4.887765321375186,ss,1.0
1.0722515080547868,1.6133333333333333,ss,1.0
1.069274004683841,1.3828571428571426,ss,1.0
1.033075012419275,0.2304761904761907,ss,1.0
1.0241342701014833,0.1466666666666665,ss,1.0
1.0207071180185934,0.1047619047619043,ss,1.0
1.0022286565893124,0.0,ss,1.0
1.0002909658647363,0.0209523809523801,ss,1.0
1.0306907955432547,0.2095238095238087,ss,1.0
1.0008443091196026,0.009404228058937,ss,0.5
