x,y,location,strain,specimen
1.2747754373988396,13.734929146342806,sub-epi,ff,2
1.2675057530747296,13.19243346803052,sub-epi,ff,2
1.2622794287664747,12.505257594609176,sub-epi,ff,2
1.2558580064082097,11.52442716992766,sub-epi,ff,2
1.2539097785754396,10.498453000957928,sub-epi,ff,2
1.246651985774215,9.809625527135792,sub-epi,ff,2
1.2409836931987095,9.561114720163838,sub-epi,ff,2
1.2349368538113432,8.970832736922075,sub-epi,ff,2
1.2321562193765758,8.188084253641778,sub-epi,ff,2
1.2281289569592937,7.745785666310653,sub-epi,ff,2
1.2212536748108918,7.349952103588375,sub-epi,ff,2
1.215597273758272,6.95510950110657,sub-epi,ff,2
1.2107613877847636,6.463373008445181,sub-epi,ff,2
1.2067499807313289,5.8259653604342585,sub-epi,ff,2
1.1998628070600412,5.576463593221831,sub-epi,ff,2
1.1929795972297157,5.278184560839449,sub-epi,ff,2
1.1844831041279,4.832252452626594,sub-epi,ff,2
1.1772173836447517,4.24097950914436,sub-epi,ff,2
1.1695295140991622,3.844485306261763,sub-epi,ff,2
1.1618495722354962,3.350436573039272,sub-epi,ff,2
1.1525523832593785,2.7575120291562527,sub-epi,ff,2
1.144047962475639,2.4091344512832897,sub-epi,ff,2
1.13430880523227,2.25487497384966,sub-epi,ff,2
1.1270272293852743,1.8587110910472229,sub-epi,ff,2
1.1189092830953191,1.75455015910417,sub-epi,ff,2
1.1116039242025524,1.6510498673214329,sub-epi,ff,2
1.105111152706973,1.5482102156990116,sub-epi,ff,2
1.0957941445260455,1.199171997665733,sub-epi,ff,2
1.0868755023617886,0.9480186300525162,sub-epi,ff,2
1.0783472985322775,0.8923046431992567,sub-epi,ff,2
1.0714521971790665,0.74035740632673,sub-epi,ff,2
1.064158729809185,0.4905253190341412,sub-epi,ff,2
1.0572636284559738,0.3385780821616109,sub-epi,ff,2
1.057127506283161,0.3270594805920126,mid-myo,ff,1
1.0669151633621894,0.5294610444010033,mid-myo,ff,1
1.077517118123429,0.7815693940240145,mid-myo,ff,1
1.0905659871544262,1.0842781345992698,mid-myo,ff,1
1.0995373359396816,1.286232895839149,mid-myo,ff,1
1.108102541189612,1.438704272549565,mid-myo,ff,1
1.1162535604579726,1.7387321977101315,mid-myo,ff,1
1.125220888020106,2.0392069254398173,mid-myo,ff,1
1.1350005026528902,2.438648422228429,mid-myo,ff,1
1.144371963138788,2.837866517732476,mid-myo,ff,1
1.1557681094666294,3.6322814856185417,mid-myo,ff,1
1.1631068416643395,3.8333426417201855,mid-myo,ff,1
1.1700333984920412,4.132700363027084,mid-myo,ff,1
1.1797969282323373,4.926221725774919,mid-myo,ff,1
1.1863012566322255,5.570175928511588,mid-myo,ff,1
1.1936319463836915,5.968277017592852,mid-myo,ff,1
1.200144317229824,6.415191287349902,mid-myo,ff,1
1.205014018430606,7.1075118681932405,mid-myo,ff,1
1.2094815973191846,7.651829098017311,mid-myo,ff,1
1.213543032672438,8.146662943311922,mid-myo,ff,1
1.2180166433956996,8.543200223401282,mid-myo,ff,1
1.2253191845853113,9.630941077911196,mid-myo,ff,1
1.232223624685842,10.472158614912034,mid-myo,ff,1
1.2370852834403798,11.36151912873499,mid-myo,ff,1
1.243591622451829,11.95621334822675,mid-myo,ff,1
